DDInter_ID,DDInter_name,normalized_DDInter_name,PrimeKG_name,normalized_PrimeKG_name,DrugBank_ID,equal_after_normalization,route_or_formulation_qualifier_detected,lexical_attention_reason,suspicious_lexical_case,review_status
DDInter1628,Ruxolitinib,ruxolitinib,Ruxolitinib,ruxolitinib,DB08877,true,false,,false,accepted_exact_normalized_name
DDInter1629,Sacituzumab govitecan,sacituzumab govitecan,Sacituzumab govitecan,sacituzumab govitecan,DB12893,true,false,,false,accepted_exact_normalized_name
DDInter163,Baloxavir marboxil,baloxavir marboxil,Baloxavir marboxil,baloxavir marboxil,DB13997,true,false,,false,accepted_exact_normalized_name
DDInter1630,Sacubitril,sacubitril,Sacubitril,sacubitril,DB09292,true,false,,false,accepted_exact_normalized_name
DDInter1631,Safinamide,safinamide,Safinamide,safinamide,DB06654,true,false,,false,accepted_exact_normalized_name
DDInter1632,Salbutamol,salbutamol,Salbutamol,salbutamol,DB01001,true,false,,false,accepted_exact_normalized_name
DDInter1635,Salmeterol,salmeterol,Salmeterol,salmeterol,DB00938,true,false,,false,accepted_exact_normalized_name
DDInter1636,Salmon calcitonin,salmon calcitonin,Salmon calcitonin,salmon calcitonin,DB00017,true,false,,false,accepted_exact_normalized_name
DDInter1637,Salsalate,salsalate,Salsalate,salsalate,DB01399,true,false,,false,accepted_exact_normalized_name
DDInter1639,Sapropterin,sapropterin,Sapropterin,sapropterin,DB00360,true,false,,false,accepted_exact_normalized_name
DDInter164,Balsalazide,balsalazide,Balsalazide,balsalazide,DB01014,true,false,,false,accepted_exact_normalized_name
DDInter1640,Saquinavir,saquinavir,Saquinavir,saquinavir,DB01232,true,false,,false,accepted_exact_normalized_name
DDInter1641,Sarecycline,sarecycline,Sarecycline,sarecycline,DB12035,true,false,,false,accepted_exact_normalized_name
DDInter1642,Sargramostim,sargramostim,Sargramostim,sargramostim,DB00020,true,false,,false,accepted_exact_normalized_name
DDInter1643,Sarilumab,sarilumab,Sarilumab,sarilumab,DB11767,true,false,,false,accepted_exact_normalized_name
DDInter1646,Saxagliptin,saxagliptin,Saxagliptin,saxagliptin,DB06335,true,false,,false,accepted_exact_normalized_name
DDInter1647,Scopolamine,scopolamine,Scopolamine,scopolamine,DB00747,true,false,,false,accepted_exact_normalized_name
DDInter165,Baricitinib,baricitinib,Baricitinib,baricitinib,DB11817,true,false,,false,accepted_exact_normalized_name
DDInter1650,Secobarbital,secobarbital,Secobarbital,secobarbital,DB00418,true,false,,false,accepted_exact_normalized_name
DDInter1651,Secretin human,secretin human,Secretin human,secretin human,DB09532,true,false,,false,accepted_exact_normalized_name
DDInter1652,Secukinumab,secukinumab,Secukinumab,secukinumab,DB09029,true,false,,false,accepted_exact_normalized_name
DDInter1653,Selegiline,selegiline,Selegiline,selegiline,DB01037,true,false,,false,accepted_exact_normalized_name
DDInter1654,Selenium,selenium,Selenium,selenium,DB11135,true,false,,false,accepted_exact_normalized_name
DDInter1656,Selexipag,selexipag,Selexipag,selexipag,DB11362,true,false,,false,accepted_exact_normalized_name
DDInter1657,Selinexor,selinexor,Selinexor,selinexor,DB11942,true,false,,false,accepted_exact_normalized_name
DDInter1658,Selpercatinib,selpercatinib,Selpercatinib,selpercatinib,DB15685,true,false,,false,accepted_exact_normalized_name
DDInter1659,Selumetinib,selumetinib,Selumetinib,selumetinib,DB11689,true,false,,false,accepted_exact_normalized_name
DDInter166,Basiliximab,basiliximab,Basiliximab,basiliximab,DB00074,true,false,,false,accepted_exact_normalized_name
DDInter1660,Semaglutide,semaglutide,Semaglutide,semaglutide,DB13928,true,false,,false,accepted_exact_normalized_name
DDInter1662,Sertraline,sertraline,Sertraline,sertraline,DB01104,true,false,,false,accepted_exact_normalized_name
DDInter1663,Sevelamer,sevelamer,Sevelamer,sevelamer,DB00658,true,false,,false,accepted_exact_normalized_name
DDInter1664,Sevoflurane,sevoflurane,Sevoflurane,sevoflurane,DB01236,true,false,,false,accepted_exact_normalized_name
DDInter1665,Sibutramine,sibutramine,Sibutramine,sibutramine,DB01105,true,false,,false,accepted_exact_normalized_name
DDInter1666,Sildenafil,sildenafil,Sildenafil,sildenafil,DB00203,true,false,,false,accepted_exact_normalized_name
DDInter1667,Silodosin,silodosin,Silodosin,silodosin,DB06207,true,false,,false,accepted_exact_normalized_name
DDInter1668,Siltuximab,siltuximab,Siltuximab,siltuximab,DB09036,true,false,,false,accepted_exact_normalized_name
DDInter167,Bazedoxifene,bazedoxifene,Bazedoxifene,bazedoxifene,DB06401,true,false,,false,accepted_exact_normalized_name
DDInter1673,Simeprevir,simeprevir,Simeprevir,simeprevir,DB06290,true,false,,false,accepted_exact_normalized_name
DDInter1675,Simvastatin,simvastatin,Simvastatin,simvastatin,DB00641,true,false,,false,accepted_exact_normalized_name
DDInter1676,Siponimod,siponimod,Siponimod,siponimod,DB12371,true,false,,false,accepted_exact_normalized_name
DDInter1677,Sipuleucel-T,sipuleucel-t,Sipuleucel-T,sipuleucel-t,DB06688,true,false,,false,accepted_exact_normalized_name
DDInter1678,Sirolimus,sirolimus,Sirolimus,sirolimus,DB00877,true,false,,false,accepted_exact_normalized_name
DDInter1679,Sitagliptin,sitagliptin,Sitagliptin,sitagliptin,DB01261,true,false,,false,accepted_exact_normalized_name
DDInter168,Beclomethasone dipropionate,beclomethasone dipropionate,Beclomethasone dipropionate,beclomethasone dipropionate,DB00394,true,false,,false,accepted_exact_normalized_name
DDInter1681,Sodium acetate,sodium acetate,Sodium acetate,sodium acetate,DB09395,true,false,,false,accepted_exact_normalized_name
DDInter1682,Sodium aurothiomalate,sodium aurothiomalate,Sodium aurothiomalate,sodium aurothiomalate,DB09276,true,false,,false,accepted_exact_normalized_name
DDInter1683,Sodium bicarbonate,sodium bicarbonate,Sodium bicarbonate,sodium bicarbonate,DB01390,true,false,,false,accepted_exact_normalized_name
DDInter1685,Sodium chloride,sodium chloride,Sodium chloride,sodium chloride,DB09153,true,false,,false,accepted_exact_normalized_name
DDInter1686,Sodium citrate,sodium citrate,Sodium citrate,sodium citrate,DB09154,true,false,,false,accepted_exact_normalized_name
DDInter1687,Sodium ferric gluconate complex,sodium ferric gluconate complex,Sodium ferric gluconate complex,sodium ferric gluconate complex,DB09517,true,false,,false,accepted_exact_normalized_name
DDInter1690,Sodium oxybate,sodium oxybate,Sodium oxybate,sodium oxybate,DB09072,true,false,,false,accepted_exact_normalized_name
DDInter1691,"Sodium phosphate, monobasic","sodium phosphate, monobasic","Sodium phosphate, monobasic","sodium phosphate, monobasic",DB09449,true,false,parenthetical_or_comma_exact_match,false,accepted_exact_normalized_name
DDInter1693,Sodium sulfate,sodium sulfate,Sodium sulfate,sodium sulfate,DB09472,true,false,,false,accepted_exact_normalized_name
DDInter1694,Sodium zirconium cyclosilicate,sodium zirconium cyclosilicate,Sodium zirconium cyclosilicate,sodium zirconium cyclosilicate,DB14048,true,false,,false,accepted_exact_normalized_name
DDInter1695,Sofosbuvir,sofosbuvir,Sofosbuvir,sofosbuvir,DB08934,true,false,,false,accepted_exact_normalized_name
DDInter1696,Solifenacin,solifenacin,Solifenacin,solifenacin,DB01591,true,false,,false,accepted_exact_normalized_name
DDInter1697,Solriamfetol,solriamfetol,Solriamfetol,solriamfetol,DB14754,true,false,,false,accepted_exact_normalized_name
DDInter1698,Somapacitan,somapacitan,Somapacitan,somapacitan,DB15093,true,false,,false,accepted_exact_normalized_name
DDInter1699,Somatotropin,somatotropin,Somatotropin,somatotropin,DB00052,true,false,,false,accepted_exact_normalized_name
DDInter17,Acetohydroxamic acid,acetohydroxamic acid,Acetohydroxamic acid,acetohydroxamic acid,DB00551,true,false,,false,accepted_exact_normalized_name
DDInter170,Bedaquiline,bedaquiline,Bedaquiline,bedaquiline,DB08903,true,false,,false,accepted_exact_normalized_name
DDInter1700,Somatrem,somatrem,Somatrem,somatrem,DB09098,true,false,,false,accepted_exact_normalized_name
DDInter1701,Sonidegib,sonidegib,Sonidegib,sonidegib,DB09143,true,false,,false,accepted_exact_normalized_name
DDInter1702,Sorafenib,sorafenib,Sorafenib,sorafenib,DB00398,true,false,,false,accepted_exact_normalized_name
DDInter1703,Sorbitol,sorbitol,Sorbitol,sorbitol,DB01638,true,false,,false,accepted_exact_normalized_name
DDInter1704,Sotalol,sotalol,Sotalol,sotalol,DB00489,true,false,,false,accepted_exact_normalized_name
DDInter1705,Sparfloxacin,sparfloxacin,Sparfloxacin,sparfloxacin,DB01208,true,false,,false,accepted_exact_normalized_name
DDInter1706,Spectinomycin,spectinomycin,Spectinomycin,spectinomycin,DB00919,true,false,,false,accepted_exact_normalized_name
DDInter1707,Spironolactone,spironolactone,Spironolactone,spironolactone,DB00421,true,false,,false,accepted_exact_normalized_name
DDInter1708,St. John's Wort,st. john's wort,St. John's Wort,st. john's wort,DB01323,true,false,,false,accepted_exact_normalized_name
DDInter1709,Stanozolol,stanozolol,Stanozolol,stanozolol,DB06718,true,false,,false,accepted_exact_normalized_name
DDInter1710,Stavudine,stavudine,Stavudine,stavudine,DB00649,true,false,,false,accepted_exact_normalized_name
DDInter1711,Stiripentol,stiripentol,Stiripentol,stiripentol,DB09118,true,false,,false,accepted_exact_normalized_name
DDInter1712,Streptokinase,streptokinase,Streptokinase,streptokinase,DB00086,true,false,,false,accepted_exact_normalized_name
DDInter1713,Streptomycin,streptomycin,Streptomycin,streptomycin,DB01082,true,false,,false,accepted_exact_normalized_name
DDInter1714,Streptozocin,streptozocin,Streptozocin,streptozocin,DB00428,true,false,,false,accepted_exact_normalized_name
DDInter1716,Succinylcholine,succinylcholine,Succinylcholine,succinylcholine,DB00202,true,false,,false,accepted_exact_normalized_name
DDInter1717,Sucralfate,sucralfate,Sucralfate,sucralfate,DB00364,true,false,,false,accepted_exact_normalized_name
DDInter1718,Sufentanil,sufentanil,Sufentanil,sufentanil,DB00708,true,false,,false,accepted_exact_normalized_name
DDInter1719,Sugammadex,sugammadex,Sugammadex,sugammadex,DB06206,true,false,,false,accepted_exact_normalized_name
DDInter172,Belatacept,belatacept,Belatacept,belatacept,DB06681,true,false,,false,accepted_exact_normalized_name
DDInter1721,Sulfadiazine,sulfadiazine,Sulfadiazine,sulfadiazine,DB00359,true,false,,false,accepted_exact_normalized_name
DDInter1722,Sulfadoxine,sulfadoxine,Sulfadoxine,sulfadoxine,DB01299,true,false,,false,accepted_exact_normalized_name
DDInter1723,Sulfamethizole,sulfamethizole,Sulfamethizole,sulfamethizole,DB00576,true,false,,false,accepted_exact_normalized_name
DDInter1724,Sulfamethoxazole,sulfamethoxazole,Sulfamethoxazole,sulfamethoxazole,DB01015,true,false,,false,accepted_exact_normalized_name
DDInter1725,Sulfasalazine,sulfasalazine,Sulfasalazine,sulfasalazine,DB00795,true,false,,false,accepted_exact_normalized_name
DDInter1726,Sulfinpyrazone,sulfinpyrazone,Sulfinpyrazone,sulfinpyrazone,DB01138,true,false,,false,accepted_exact_normalized_name
DDInter1727,Sulfisoxazole,sulfisoxazole,Sulfisoxazole,sulfisoxazole,DB00263,true,false,,false,accepted_exact_normalized_name
DDInter1729,Sulindac,sulindac,Sulindac,sulindac,DB00605,true,false,,false,accepted_exact_normalized_name
DDInter173,Belimumab,belimumab,Belimumab,belimumab,DB08879,true,false,,false,accepted_exact_normalized_name
DDInter1730,Sumatriptan,sumatriptan,Sumatriptan,sumatriptan,DB00669,true,false,,false,accepted_exact_normalized_name
DDInter1731,Sunitinib,sunitinib,Sunitinib,sunitinib,DB01268,true,false,,false,accepted_exact_normalized_name
DDInter1733,Suvorexant,suvorexant,Suvorexant,suvorexant,DB09034,true,false,,false,accepted_exact_normalized_name
DDInter1734,Tacrine,tacrine,Tacrine,tacrine,DB00382,true,false,,false,accepted_exact_normalized_name
DDInter1735,Tacrolimus,tacrolimus,Tacrolimus,tacrolimus,DB00864,true,false,,false,accepted_exact_normalized_name
DDInter1736,Tadalafil,tadalafil,Tadalafil,tadalafil,DB00820,true,false,,false,accepted_exact_normalized_name
DDInter1737,Tafamidis,tafamidis,Tafamidis,tafamidis,DB11644,true,false,,false,accepted_exact_normalized_name
DDInter1738,Tafasitamab,tafasitamab,Tafasitamab,tafasitamab,DB15044,true,false,,false,accepted_exact_normalized_name
DDInter1739,Tafenoquine,tafenoquine,Tafenoquine,tafenoquine,DB06608,true,false,,false,accepted_exact_normalized_name
DDInter174,Belinostat,belinostat,Belinostat,belinostat,DB05015,true,false,,false,accepted_exact_normalized_name
DDInter1741,Tagraxofusp,tagraxofusp,Tagraxofusp,tagraxofusp,DB14731,true,false,,false,accepted_exact_normalized_name
