DDInter_ID_A,Drug_A,DrugBank_ID_A,DDInter_ID_B,Drug_B,DrugBank_ID_B,severity,PrimeKG_node_A,PrimeKG_node_B,mapping_method_A,mapping_method_B,PrimeKG_known_overlap
DDInter100,Anthrax vaccine,DB11003,DDInter1926,Venetoclax,DB11581,Moderate,9673,4437,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter233,Brigatinib,DB12267,Moderate,9673,4466,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter425,Cobimetinib,DB05239,Moderate,9673,3548,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter441,Copanlisib,DB12483,Moderate,9673,3250,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter478,Daratumumab,DB09331,Moderate,9673,8941,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter499,Denileukin diftitox,DB00004,Moderate,9673,6316,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter610,Durvalumab,DB11714,Moderate,9673,8398,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter630,Elotuzumab,DB06317,Moderate,9673,8424,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter7,Abemaciclib,DB12001,Moderate,9673,3245,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter9,Acalabrutinib,DB11703,Moderate,9673,3233,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter927,Inotuzumab ozogamicin,DB05889,Moderate,9673,5341,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1016,Lactitol,DB12942,Moderate,4522,9406,exact normalized-name fallback,exact normalized-name fallback,false
