DDInter_ID,DDInter_name,DrugBank_ID,PrimeKG_name,PrimeKG_node,mapping_method,mapping_confidence_category
DDInter1223,Mineral oil,DB11057,Mineral oil,9773,exact normalized-name fallback,exact-name match
DDInter1224,Minocycline,DB01017,Minocycline,4697,exact normalized-name fallback,exact-name match
DDInter1225,Minocycline (topical),,,,none,unmapped
DDInter1226,Minoxidil,DB00350,Minoxidil,4638,exact normalized-name fallback,exact-name match
DDInter1227,Minoxidil (topical),,,,none,unmapped
DDInter1228,Mipomersen,DB05528,Mipomersen,10217,exact normalized-name fallback,exact-name match
DDInter1229,Mirabegron,DB08893,Mirabegron,3189,exact normalized-name fallback,exact-name match
DDInter123,Articaine,DB09009,Articaine,9098,exact normalized-name fallback,exact-name match
DDInter1230,Mirtazapine,DB00370,Mirtazapine,3877,exact normalized-name fallback,exact-name match
DDInter1231,Misoprostol,DB00929,Misoprostol,5004,exact normalized-name fallback,exact-name match
DDInter1232,Mitomycin,DB00305,Mitomycin,4054,exact normalized-name fallback,exact-name match
DDInter1233,Mitotane,DB00648,Mitotane,2808,exact normalized-name fallback,exact-name match
DDInter1234,Mitoxantrone,DB01204,Mitoxantrone,3574,exact normalized-name fallback,exact-name match
DDInter1235,Mivacurium,DB01226,Mivacurium,4852,exact normalized-name fallback,exact-name match
DDInter1236,Modafinil,DB00745,Modafinil,3751,exact normalized-name fallback,exact-name match
DDInter1237,Moexipril,DB00691,Moexipril,5472,exact normalized-name fallback,exact-name match
DDInter1238,Mogamulizumab,DB12498,Mogamulizumab,8977,exact normalized-name fallback,exact-name match
DDInter1239,Molindone,DB01618,Molindone,5100,exact normalized-name fallback,exact-name match
DDInter124,Ascorbic acid,DB00126,Ascorbic acid,2911,exact normalized-name fallback,exact-name match
DDInter1240,Monomethyl fumarate,DB14219,Monomethyl fumarate,9725,exact normalized-name fallback,exact-name match
DDInter1241,Monopotassium phosphate,DB09413,Monopotassium phosphate,9120,exact normalized-name fallback,exact-name match
DDInter1242,Montelukast,DB00471,Montelukast,3382,exact normalized-name fallback,exact-name match
DDInter1243,Moricizine,DB00680,Moricizine,5352,exact normalized-name fallback,exact-name match
DDInter1244,Morphine,DB00295,Morphine,2933,exact normalized-name fallback,exact-name match
DDInter1245,Morphine (liposomal),,,,none,unmapped
DDInter1246,Moxetumomab Pasudotox,DB12688,Moxetumomab Pasudotox,5342,exact normalized-name fallback,exact-name match
DDInter1247,Moxifloxacin,DB00218,Moxifloxacin,4072,exact normalized-name fallback,exact-name match
DDInter1248,Mumps virus strain B level jeryl lynn live antigen,,,,none,unmapped
DDInter1249,Mupirocin,DB00410,Mupirocin,9237,exact normalized-name fallback,exact-name match
DDInter125,Asenapine,DB06216,Asenapine,3163,exact normalized-name fallback,exact-name match
DDInter1250,Muromonab,DB00075,Muromonab,5606,exact normalized-name fallback,exact-name match
DDInter1251,Mycophenolate mofetil,DB00688,Mycophenolate mofetil,3747,exact normalized-name fallback,exact-name match
DDInter1252,Mycophenolic acid,DB01024,Mycophenolic acid,4625,exact normalized-name fallback,exact-name match
DDInter1253,Nabilone,DB00486,Nabilone,4559,exact normalized-name fallback,exact-name match
DDInter1254,Nabumetone,DB00461,Nabumetone,2958,exact normalized-name fallback,exact-name match
DDInter1255,Nadolol,DB01203,Nadolol,3365,exact normalized-name fallback,exact-name match
DDInter1256,Nafcillin,DB00607,Nafcillin,2988,exact normalized-name fallback,exact-name match
DDInter1257,Nalbuphine,DB00844,Nalbuphine,5933,exact normalized-name fallback,exact-name match
DDInter1258,Naldemedine,DB11691,Naldemedine,4663,exact normalized-name fallback,exact-name match
DDInter1259,Nalidixic acid,DB00779,Nalidixic acid,4093,exact normalized-name fallback,exact-name match
DDInter126,Asparaginase Erwinia chrysanthemi,DB08886,Asparaginase Erwinia chrysanthemi,3297,exact normalized-name fallback,exact-name match
DDInter1260,Nalmefene,DB06230,Nalmefene,4662,exact normalized-name fallback,exact-name match
DDInter1261,Naloxegol,DB09049,Naloxegol,4011,exact normalized-name fallback,exact-name match
DDInter1262,Naloxone,DB01183,Naloxone,3097,exact normalized-name fallback,exact-name match
DDInter1263,Naltrexone,DB00704,Naltrexone,4639,exact normalized-name fallback,exact-name match
DDInter1264,Naphazoline (nasal),,,,none,unmapped
DDInter1265,Naphazoline (ophthalmic),,,,none,unmapped
DDInter1266,Naproxen,DB00788,Naproxen,3021,exact normalized-name fallback,exact-name match
DDInter1267,Naratriptan,DB00952,Naratriptan,3684,exact normalized-name fallback,exact-name match
DDInter1268,Natalizumab,DB00108,Natalizumab,6200,exact normalized-name fallback,exact-name match
DDInter1269,Nateglinide,DB00731,Nateglinide,3005,exact normalized-name fallback,exact-name match
DDInter127,Asparaginase Escherichia coli,DB00023,Asparaginase Escherichia coli,3285,exact normalized-name fallback,exact-name match
DDInter1270,Naxitamab,,,,none,unmapped
DDInter1271,Nebivolol,DB04861,Nebivolol,3152,exact normalized-name fallback,exact-name match
DDInter1272,Necitumumab,DB09559,Necitumumab,6501,exact normalized-name fallback,exact-name match
DDInter1273,Nedocromil,DB00716,Nedocromil,5106,exact normalized-name fallback,exact-name match
DDInter1274,Nefazodone,DB01149,Nefazodone,3929,exact normalized-name fallback,exact-name match
DDInter1275,Nelarabine,DB01280,Nelarabine,3702,exact normalized-name fallback,exact-name match
DDInter1276,Nelfinavir,DB00220,Nelfinavir,2917,exact normalized-name fallback,exact-name match
DDInter1277,Neomycin,DB00994,Neomycin,6130,exact normalized-name fallback,exact-name match
DDInter1278,Neomycin (topical),,,,none,unmapped
DDInter1279,Neostigmine,DB01400,Neostigmine,3644,exact normalized-name fallback,exact-name match
