Drug_A,DrugBank_ID_A,PrimeKG_node_A,Drug_B,DrugBank_ID_B,PrimeKG_node_B,mapping_method_A,mapping_method_B,source_row_count,unique_description_count,PrimeKG_train_overlap,PrimeKG_known_overlap
Abiraterone,DB05812,3159,Ixazomib,DB09570,4023,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Ketoconazole,DB01026,3064,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Ketoprofen,DB01009,3061,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Levodopa,DB01235,3104,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Lomustine,DB01206,3937,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Lopinavir,DB01601,3129,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Loratadine,DB00455,3733,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Luliconazole,DB08933,4387,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Macitentan,DB08932,3193,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Malathion,DB00772,4092,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Menadione,DB00170,3617,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Meprobamate,DB00371,5847,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Methylphenidate,DB00422,5638,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Methyprylon,DB01107,6565,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Metronidazole,DB00916,3763,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Mifepristone,DB00834,3756,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Naloxone,DB01183,3097,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Nelfinavir,DB00220,2917,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Nilotinib,DB04868,3970,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Nilutamide,DB00665,4055,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Nitric Oxide,DB00435,3417,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Olaparib,DB09074,3819,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Osimertinib,DB09330,4160,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Ouabain,DB01092,6409,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Oxaliplatin,DB00526,3519,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Oxaprozin,DB00991,4767,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Oxiconazole,DB00239,4205,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Palbociclib,DB09073,3195,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Posaconazole,DB01263,4285,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Pravastatin,DB00175,6190,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Pseudoephedrine,DB00852,3032,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Pyrazinamide,DB00339,3693,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Quinidine,DB00908,3041,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Rifabutin,DB00615,4235,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Rifapentine,DB01201,4277,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Rizatriptan,DB00953,3685,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Romidepsin,DB06176,3792,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Saquinavir,DB01232,3102,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Simeprevir,DB06290,3165,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Sulfamoxole,DB08798,4578,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Sulfinpyrazone,DB01138,3357,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Sulfisoxazole,DB00263,4554,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Suprofen,DB00870,3035,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Telaprevir,DB05521,3158,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Telithromycin,DB00976,4261,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Temazepam,DB00231,4204,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Tofacitinib,DB08895,3190,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Tolperisone,DB06264,4139,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Toremifene,DB00539,4227,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Ulipristal,DB08867,3187,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Vemurafenib,DB08881,3188,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Vinblastine,DB00570,3890,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Vinorelbine,DB00361,3875,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Zalcitabine,DB00943,3047,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Ziprasidone,DB00246,2923,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Adapalene,DB00210,5059,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Apraclonidine,DB00964,5630,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Bromfenac,DB00963,3452,exact normalized-name,exact normalized-name,1,1,False,False
